id	level	display_name	normalized_name	wiki_title
2522767166	1	Data science	data science	Data science
39432304	0	Environmental science	environmental science	Environmental science
127313418	0	Geology	geology	Geology
185592680	0	Chemistry	chemistry	Chemistry
95457728	0	History	history	History
127413603	0	Engineering	engineering	Engineering
17744445	0	Political science	political science	Political science
144133560	0	Business	business	Business
15744967	0	Psychology	psychology	Psychology
162324750	0	Economics	economics	Economics
33923547	0	Mathematics	mathematics	Mathematics
71924100	0	Medicine	medicine	Medicine
205649164	0	Geography	geography	Geography
86803240	0	Biology	biology	Biology
138885662	0	Philosophy	philosophy	Philosophy
142362112	0	Art	art	Art
144024400	0	Sociology	sociology	Sociology
121332964	0	Physics	physics	Physics
192562407	0	Materials science	materials science	Materials science
41008148	0	Computer science	computer science	Computer science
199639397	1	Engineering drawing	engineering drawing	Engineering drawing
133425853	1	Neoclassical economics	neoclassical economics	Neoclassical economics
131872663	1	Obstetrics	obstetrics	Obstetrics
124101348	1	Data mining	data mining	Data mining
78458016	1	Evolutionary biology	evolutionary biology	Evolutionary biology
119599485	1	Electrical engineering	electrical engineering	Electrical engineering
29595303	1	Media studies	media studies	Media studies
95444343	1	Cell biology	cell biology	Cell biology
75630572	1	Applied psychology	applied psychology	Applied psychology
159047783	1	Virology	virology	Virology
140793950	1	Animal science	animal science	Animal science
16685009	1	Andrology	andrology	Andrology
177713679	1	Intensive care medicine	intensive care medicine	Intensive care medicine
150903083	1	Biotechnology	biotechnology	Biotechnology
97137747	1	Forestry	forestry	Forestry
37914503	1	Mathematical physics	mathematical physics	Mathematical physics
21547014	1	Operations management	operations management	Operations management
151730666	1	Paleontology	paleontology	Paleontology
62520636	1	Quantum mechanics	quantum mechanics	Quantum mechanics
44870925	1	Astrophysics	astrophysics	Astrophysics
2989005	1	Nuclear medicine	nuclear medicine	Nuclear medicine
89423630	1	Microbiology	microbiology	Microbiology
5900021	1	Petrology	petrology	Petrology
42219234	1	Anesthesia	anesthesia	Anesthesia
31903555	1	Food science	food science	Food science
27206212	1	Theology	theology	Theology
106159729	1	Financial economics	financial economics	Financial economics
143998085	1	Oncology	oncology	Oncology
41999313	1	Molecular physics	molecular physics	Molecular physics
50522688	1	Economic growth	economic growth	Economic growth
510606860	1	Ceramic materials	ceramic materials	Ceramic materials
111919701	1	Operating system	operating system	Operating system
114793014	1	Geomorphology	geomorphology	Geomorphology
36289849	1	Social science	social science	Social science
184779094	1	Atomic physics	atomic physics	Atomic physics
154945302	1	Artificial intelligence	artificial intelligence	Artificial intelligence
48824518	1	Agricultural economics	agricultural economics	Agricultural economics
107826830	1	Environmental resource management	environmental resource management	Environmental resource management
42972112	1	Veterinary medicine	veterinary medicine	Veterinary medicine
178550888	1	Business administration	business administration	Business administration
94375191	1	Arithmetic	arithmetic	Arithmetic
91586092	1	Atmospheric sciences	atmospheric sciences	Atmospheric sciences
26271046	1	Economic geography	economic geography	Economic geography
178802073	1	Aeronautics	aeronautics	Aeronautics
165205528	1	Seismology	seismology	Seismology
37621935	1	Agricultural science	agricultural science	Agricultural science
164705383	1	Cardiology	cardiology	Cardiology
111368507	1	Oceanography	oceanography	Oceanography
58640448	1	Cartography	cartography	Cartography
153911025	1	Molecular biology	molecular biology	Molecular biology
70410870	1	Clinical psychology	clinical psychology	Clinical psychology
204321447	1	Natural language processing	natural language processing	Natural language processing
187212893	1	Pediatrics	pediatrics	Pediatrics
60644358	1	Bioinformatics	bioinformatics	Bioinformatics
148383697	1	Regional science	regional science	Regional science
53553401	1	Genealogy	genealogy	Genealogy
112930515	1	Risk analysis (engineering)	risk analysis	Risk analysis (engineering)
108827166	1	Internet privacy	internet privacy	Internet privacy
73283319	1	Financial system	financial system	Financial system
149782125	1	Econometrics	econometrics	Econometrics
138496976	1	Developmental psychology	developmental psychology	Developmental psychology
512399662	1	Family medicine	family medicine	Family medicine
24326235	1	Electronic engineering	electronic engineering	Electronic engineering
13280743	1	Geodesy	geodesy	Geodesy
87717796	1	Environmental engineering	environmental engineering	Environmental engineering
2524010	1	Geometry	geometry	Geometry
134306372	1	Mathematical analysis	mathematical analysis	Mathematical analysis
39549134	1	Public relations	public relations	Public relations
100001284	1	Public economics	public economics	Public economics
117671659	1	Manufacturing engineering	manufacturing engineering	Manufacturing engineering
3116431	1	Public administration	public administration	Public administration
105795698	1	Statistics	statistics	Statistics
70721500	1	Computational biology	computational biology	Computational biology
202444582	1	Pure mathematics	pure mathematics	Pure mathematics
178980831	1	Pattern recognition	pattern recognition	Pattern recognition
80444323	1	Theoretical computer science	theoretical computer science	Theoretical computer science
33332235	1	Theoretical physics	theoretical physics	Theoretical physics
42475967	1	Operations research	operations research	Operations research
548259974	1	Audiology	audiology	Audiology
29694066	1	Orthodontics	orthodontics	Orthodontics
46312422	1	Communication	communication	Communication
149635348	1	Embedded system	embedded system	Embedded system
95124753	1	Environmental ethics	environmental ethics	Environmental ethics
147597530	1	Computational chemistry	computational chemistry	Computational chemistry
62649853	1	Remote sensing	remote sensing	Remote sensing
175444787	1	Microeconomics	microeconomics	Microeconomics
180747234	1	Cognitive psychology	cognitive psychology	Cognitive psychology
133731056	1	Control engineering	control engineering	Control engineering
13736549	1	Industrial engineering	industrial engineering	Industrial engineering
173608175	1	Parallel computing	parallel computing	Parallel computing
55493867	1	Biochemistry	biochemistry	Biochemistry
549774020	1	Welfare economics	welfare economics	Welfare economics
136764020	1	World Wide Web	world wide web	World Wide Web
115704247	1	Analytical chemistry	analytical chemistry	Analytical chemistry
199360897	1	Programming language	programming language	Programming language
134018914	1	Endocrinology	endocrinology	Endocrinology
177322064	1	Radiochemistry	radiochemistry	Radiochemistry
45355965	1	Socioeconomics	socioeconomics	Socioeconomics
110354214	1	Engineering management	engineering management	Engineering management
556758197	1	Monetary economics	monetary economics	Monetary economics
105639569	1	Economic policy	economic policy	Economic policy
107038049	1	Aesthetics	aesthetics	Aesthetics
124952713	1	Literature	literature	Literature
54286561	1	Agroforestry	agroforestry	Agroforestry
90856448	1	Zoology	zoology	Zoology
21880701	1	Process engineering	process engineering	Process engineering
185544564	1	Nuclear physics	nuclear physics	Nuclear physics
119767625	1	Optometry	optometry	Optometry
